Name,Count (cami2_sample2_abundance),Count (cami2_marine_sample2_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample2_abundance),Proportion_All(%) (cami2_marine_sample2_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample2_abundance),Proportion_Classified(%) (cami2_marine_sample2_abundance_jn05),Proportion_Classified(%) (diff)
Crocosphaera subtropica,3,3,+0,0.00018113,0,-0.00018113,0.00160244,0,-0.00160244
Cupriavidus malaysiensis,189,188,-1,0.0114112,0.01,-0.0014112,0.100953,0.1,-0.000953
Cyclobacterium amurskyense,142,143,+1,0.0085735,0.01,+0.0014265,0.0758486,0.08,+0.0041514
Cyclobacterium marinum,5,5,+0,0.000301884,0,-0.000301884,0.00267073,0,-0.00267073
Cycloclasticus sp. P1,1621,1769,+148,0.0978708,0.11,+0.0121292,0.865849,0.94,+0.074151
Cycloclasticus zancles,1923,1774,-149,0.116105,0.11,-0.006105,1.02716,0.95,-0.07716
Deferribacter desulfuricans,2,N/A,N/A,0.000120754,N/A,N/A,0.00106829,N/A,N/A
Denitrovibrio acetiphilus,6,7,+1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Desulfobacula toluolica,1253,1252,-1,0.0756521,0.08,+0.0043479,0.669284,0.67,+0.000716
Desulfocapsa sulfexigens,398,400,+2,0.02403,0.02,-0.00403,0.21259,0.21,-0.00259
Desulfococcus multivorans,1047,1046,-1,0.0632145,0.06,-0.0032145,0.55925,0.56,+0.00075
Desulfocurvibacter africanus,647,650,+3,0.0390638,0.04,+0.0009362,0.345592,0.35,+0.004408
Desulforamulus reducens,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Desulforapulum autotrophicum,262,262,+0,0.0158187,0.02,+0.0041813,0.139946,0.14,+5.4e-05
Desulfotalea psychrophila,481,479,-2,0.0290412,0.03,+0.0009588,0.256924,0.26,+0.003076
Desulfurobacterium thermolithotrophum,2,N/A,N/A,0.000120754,N/A,N/A,0.00106829,N/A,N/A
Dinoroseobacter shibae,121,115,-6,0.00730559,0.01,+0.00269441,0.0646316,0.06,-0.0046316
Dokdonia donghaensis,80,80,+0,0.00483014,0,-0.00483014,0.0427316,0.04,-0.0027316
Dokdonia sp. 4H-3-7-5,7,9,+2,0.000422637,0,-0.000422637,0.00373902,0,-0.00373902
Dokdonia sp. MED134,29,23,-6,0.00175093,0,-0.00175093,0.0154902,0.01,-0.0054902
Dokdonia sp. PRO95,5,7,+2,0.000301884,0,-0.000301884,0.00267073,0,-0.00267073
Draconibacterium orientale,4,2,-2,0.000241507,0,-0.000241507,0.00213658,0,-0.00213658
Echinicola vietnamensis,6,5,-1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Edwardsiella anguillarum,54,48,-6,0.00326035,0,-0.00326035,0.0288438,0.03,+0.0011562
Edwardsiella piscicida,286,299,+13,0.0172678,0.02,+0.0027322,0.152766,0.16,+0.007234
Erythrobacter litoralis,3117,3134,+17,0.188194,0.19,+0.001806,1.66493,1.67,+0.00507
Ferrimonas balearica,15,10,-5,0.000905652,0,-0.000905652,0.00801218,0.01,+0.00198782
Ferroglobus placidus,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Fervidobacterium pennivorans,46,47,+1,0.00277733,0,-0.00277733,0.0245707,0.03,+0.0054293
Flagellimonas lutaonensis,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Flagellimonas ruestringensis,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Flammeovirga sp. MY04,299,305,+6,0.0180527,0.02,+0.0019473,0.159709,0.16,+0.000291
Flavobacteriaceae bacterium MAR_2010_188,83,83,+0,0.00501127,0.01,+0.00498873,0.0443341,0.04,-0.0043341
Flavobacteriaceae bacterium UJ101,2,1,-1,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Flavobacterium crassostreae,84,83,-1,0.00507165,0.01,+0.00492835,0.0448682,0.04,-0.0048682
Flavobacterium psychrophilum,2179,2195,+16,0.131561,0.13,-0.001561,1.1639,1.17,+0.0061
Flexistipes sinusarabici,90,88,-2,0.00543391,0.01,+0.00456609,0.0480731,0.05,+0.0019269
Formosa agariphila,285,280,-5,0.0172074,0.02,+0.0027926,0.152231,0.15,-0.002231
Formosa haliotis,479,480,+1,0.0289205,0.03,+0.0010795,0.255856,0.26,+0.004144
Formosa sp. Hel1_33_131,7,6,-1,0.000422637,0,-0.000422637,0.00373902,0,-0.00373902
Formosa sp. Hel3_A1_48,146,148,+2,0.00881501,0.01,+0.00118499,0.0779852,0.08,+0.0020148
Francisella orientalis,22,20,-2,0.00132829,0,-0.00132829,0.0117512,0.01,-0.0017512
Francisella uliginis,59,59,+0,0.00356223,0,-0.00356223,0.0315146,0.03,-0.0015146
Geobacillus kaustophilus,484,483,-1,0.0292224,0.03,+0.0007776,0.258526,0.26,+0.001474
Geoglobus ahangari,43,41,-2,0.0025962,0,-0.0025962,0.0229682,0.02,-0.0029682
Gillisia sp. Hel1_33_143,66,66,+0,0.00398487,0,-0.00398487,0.0352536,0.04,+0.0047464
Glaciecola sp. 4H-3-7+YE-5,104,103,-1,0.00627918,0.01,+0.00372082,0.0555511,0.06,+0.0044489
Gloeomargarita lithophora,378,378,+0,0.0228224,0.02,-0.0028224,0.201907,0.2,-0.001907
Gramella sp. MAR_2010_102,173,170,-3,0.0104452,0.01,-0.0004452,0.0924071,0.09,-0.0024071
Gramella sp. MAR_2010_147,10,11,+1,0.000603768,0,-0.000603768,0.00534145,0.01,+0.00465855
Hahella chejuensis,160,156,-4,0.00966028,0.01,+0.00033972,0.0854632,0.08,-0.0054632
Halanaeroarchaeum sulfurireducens,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Haliangium ochraceum,10,9,-1,0.000603768,0,-0.000603768,0.00534145,0,-0.00534145
Haloarcula hispanica,65,70,+5,0.00392449,0,-0.00392449,0.0347194,0.04,+0.0052806
Haloarcula sp. CBA1115,56,51,-5,0.0033811,0,-0.0033811,0.0299121,0.03,+8.79e-05
Halobacteriovorax marinus,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Halodesulfurarchaeum formicicum,N/A,1,N/A,N/A,0,N/A,N/A,0,N/A
Haloferax gibbonsii,6,6,+0,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Haloferax mediterranei,128,127,-1,0.00772823,0.01,+0.00227177,0.0683706,0.07,+0.0016294
Halogeometricum borinquense,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Halolamina sediminis,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Halomonas aestuarii,453,451,-2,0.0273507,0.03,+0.0026493,0.241968,0.24,-0.001968
Halomonas elongata,30,30,+0,0.0018113,0,-0.0018113,0.0160244,0.02,+0.0039756
Halomonas sp. A3H3,510,503,-7,0.0307922,0.03,-0.0007922,0.272414,0.27,-0.002414
Halomonas sp. R57-5,96,102,+6,0.00579617,0.01,+0.00420383,0.0512779,0.05,-0.0012779
Halopseudomonas litoralis,6,6,+0,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Haloquadratum walsbyi,260,260,+0,0.015698,0.02,+0.004302,0.138878,0.14,+0.001122
Halorhabdus tiamatea,127,126,-1,0.00766785,0.01,+0.00233215,0.0678364,0.07,+0.0021636
Helicobacter cetorum,6,7,+1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Helicobacter enhydrae,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Hippea maritima,40,39,-1,0.00241507,0,-0.00241507,0.0213658,0.02,-0.0013658
Hirschia baltica,115,117,+2,0.00694333,0.01,+0.00305667,0.0614267,0.06,-0.0014267
Hoeflea sp. IMCC20628,10,8,-2,0.000603768,0,-0.000603768,0.00534145,0,-0.00534145
Hydrogenophaga crassostreae,557,557,+0,0.0336299,0.03,-0.0036299,0.297519,0.3,+0.002481
Hydrogenovibrio crunogenus,44,45,+1,0.00265658,0,-0.00265658,0.0235024,0.02,-0.0035024
Hyperthermus butylicus,5145,5145,+0,0.310639,0.31,-0.000639,2.74818,2.75,+0.00182
Hyphomicrobium nitrativorans,261,259,-2,0.0157583,0.02,+0.0042417,0.139412,0.14,+0.000588
Hyphomonas neptunium,408,406,-2,0.0246337,0.02,-0.0046337,0.217931,0.22,+0.002069
Hyphomonas sp. Mor2,196,195,-1,0.0118338,0.01,-0.0018338,0.104692,0.1,-0.004692
Idiomarina loihiensis,60,59,-1,0.00362261,0,-0.00362261,0.0320487,0.03,-0.0020487
Ignicoccus hospitalis,7,6,-1,0.000422637,0,-0.000422637,0.00373902,0,-0.00373902
Ignicoccus islandicus,33,33,+0,0.00199243,0,-0.00199243,0.0176268,0.02,+0.0023732
Ilumatobacter coccineus,933,931,-2,0.0563315,0.06,+0.0036685,0.498358,0.5,+0.001642
Ilyobacter polytropus,405,405,+0,0.0244526,0.02,-0.0044526,0.216329,0.22,+0.003671
Isoalcanivorax pacificus,6,15,+9,0.000362261,0,-0.000362261,0.00320487,0.01,+0.00679513
Jannaschia sp. CCS1,11,9,-2,0.000664145,0,-0.000664145,0.0058756,0,-0.0058756
Kangiella geojedonensis,174,174,+0,0.0105056,0.01,-0.0005056,0.0929413,0.09,-0.0029413
Kangiella koreensis,58,59,+1,0.00350185,0,-0.00350185,0.0309804,0.03,-0.0009804
Kangiella sediminilitoris,6,5,-1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Kiritimatiella glycovorans,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Kosmotoga olearia,1,N/A,N/A,6.03768e-05,N/A,N/A,0.000534145,N/A,N/A
Kosmotoga pacifica,40,40,+0,0.00241507,0,-0.00241507,0.0213658,0.02,-0.0013658
Kytococcus sedentarius,65,64,-1,0.00392449,0,-0.00392449,0.0347194,0.03,-0.0047194
Lacimicrobium alkaliphilum,11,5,-6,0.000664145,0,-0.000664145,0.0058756,0,-0.0058756
Lacinutrix sp. 5H-3-7-4,866,862,-4,0.0522863,0.05,-0.0022863,0.46257,0.46,-0.00257
Lactococcus garvieae,144,146,+2,0.00869426,0.01,+0.00130574,0.0769169,0.08,+0.0030831
Leisingera methylohalidivorans,458,448,-10,0.0276526,0.03,+0.0023474,0.244639,0.24,-0.004639
Leuconostoc lactis,57,55,-2,0.00344148,0,-0.00344148,0.0304463,0.03,-0.0004463
Luteimonas sp. JM171,486,487,+1,0.0293431,0.03,+0.0006569,0.259595,0.26,+0.000405
Magnetococcus marinus,574,574,+0,0.0346563,0.03,-0.0046563,0.306599,0.31,+0.003401
Magnetospira sp. QH-2,11,9,-2,0.000664145,0,-0.000664145,0.0058756,0,-0.0058756
Maribacter sp. 1_2014MBL_MicDiv,274,259,-15,0.0165432,0.02,+0.0034568,0.146356,0.14,-0.006356
Maribacter sp. HTCC2170,5,3,-2,0.000301884,0,-0.000301884,0.00267073,0,-0.00267073
Maribacter sp. MAR_2009_60,267,288,+21,0.0161206,0.02,+0.0038794,0.142617,0.15,+0.007383
Maricaulis maris,108,107,-1,0.00652069,0.01,+0.00347931,0.0576877,0.06,+0.0023123
Maridesulfovibrio hydrothermalis,660,659,-1,0.0398487,0.04,+0.0001513,0.352536,0.35,-0.002536
Maridesulfovibrio salexigens,15,16,+1,0.000905652,0,-0.000905652,0.00801218,0.01,+0.00198782
Marinithermus hydrothermalis,604,601,-3,0.0364676,0.04,+0.0035324,0.322624,0.32,-0.002624
Marinitoga piezophila,N/A,1,N/A,N/A,0,N/A,N/A,0,N/A
Marinitoga sp. 1137,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Marinobacter adhaerens,24,15,-9,0.00144904,0,-0.00144904,0.0128195,0.01,-0.0028195
Marinobacter nauticus,103,108,+5,0.00621881,0.01,+0.00378119,0.055017,0.06,+0.004983
Marinobacter psychrophilus,248,270,+22,0.0149734,0.02,+0.0050266,0.132468,0.14,+0.007532
Marinobacter salarius,398,400,+2,0.02403,0.02,-0.00403,0.21259,0.21,-0.00259
Marinobacter salinus,6,5,-1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Marinobacter similis,6,5,-1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Marinobacter sp. BSs20148,274,255,-19,0.0165432,0.02,+0.0034568,0.146356,0.14,-0.006356
Marinobacter sp. CP1,18,21,+3,0.00108678,0,-0.00108678,0.00961461,0.01,+0.00038539
Marinobacterium aestuarii,173,165,-8,0.0104452,0.01,-0.0004452,0.0924071,0.09,-0.0024071
Marinomonas mediterranea,743,758,+15,0.0448599,0.05,+0.0051401,0.39687,0.4,+0.00313
Marinomonas posidonica,1423,1418,-5,0.0859162,0.09,+0.0040838,0.760089,0.76,-8.9e-05
Marinomonas sp. MWYL1,28,26,-2,0.00169055,0,-0.00169055,0.0149561,0.01,-0.0049561
Marinovum algicola,22,24,+2,0.00132829,0,-0.00132829,0.0117512,0.01,-0.0017512
Marivirga tractuosa,1302,1301,-1,0.0786106,0.08,+0.0013894,0.695457,0.69,-0.005457
Marivivens sp. JLT3646,17,16,-1,0.00102641,0,-0.00102641,0.00908047,0.01,+0.00091953
Methanocaldococcus bathoardescens,5,5,+0,0.000301884,0,-0.000301884,0.00267073,0,-0.00267073
Methanocaldococcus fervens,6,5,-1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Methanocaldococcus infernus,6,5,-1,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Methanocaldococcus jannaschii,44,43,-1,0.00265658,0,-0.00265658,0.0235024,0.02,-0.0035024
Methanocaldococcus sp. FS406-22,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Methanocaldococcus vulcanius,251,254,+3,0.0151546,0.02,+0.0048454,0.13407,0.14,+0.00593
Methanococcoides methylutens,129,131,+2,0.0077886,0.01,+0.0022114,0.0689047,0.07,+0.0010953
Methanococcus aeolicus,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Methanococcus maripaludis,7,7,+0,0.000422637,0,-0.000422637,0.00373902,0,-0.00373902
Methanococcus vannielii,3,3,+0,0.00018113,0,-0.00018113,0.00160244,0,-0.00160244
Methanoculleus marisnigri,2,1,-1,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Methanohalobium evestigatum,1,2,+1,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Methanohalophilus halophilus,68,68,+0,0.00410562,0,-0.00410562,0.0363219,0.04,+0.0036781
Methanolacinia petrolearia,2,1,-1,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Methanopyrus kandleri,1,1,+0,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Methanosarcina acetivorans,55,49,-6,0.00332072,0,-0.00332072,0.029378,0.03,+0.000622
Methanosarcina siciliae,691,696,+5,0.0417204,0.04,-0.0017204,0.369094,0.37,+0.000906
Methanosarcina sp. MTP4,2,2,+0,0.000120754,0,-0.000120754,0.00106829,0,-0.00106829
Methanosarcina sp. WH1,5,5,+0,0.000301884,0,-0.000301884,0.00267073,0,-0.00267073
Methanothermococcus okinawensis,1,2,+1,6.03768e-05,0,-6.03768e-05,0.000534145,0,-0.000534145
Methanotorris igneus,55,55,+0,0.00332072,0,-0.00332072,0.029378,0.03,+0.000622
Methyloceanibacter caenitepidi,797,794,-3,0.0481203,0.05,+0.0018797,0.425714,0.42,-0.005714
Methylomonas methanica,1239,1238,-1,0.0748068,0.07,-0.0048068,0.661806,0.66,-0.001806
Methylophaga frappieri,17,13,-4,0.00102641,0,-0.00102641,0.00908047,0.01,+0.00091953
Methylophaga nitratireducenticrescens,10,7,-3,0.000603768,0,-0.000603768,0.00534145,0,-0.00534145
Methylophilales bacterium MBRS-H7,9,8,-1,0.000543391,0,-0.000543391,0.00480731,0,-0.00480731
Methylophilales bacterium MBRSF5,102,103,+1,0.00615843,0.01,+0.00384157,0.0544828,0.06,+0.0055172
Methylophilales bacterium MBRSG12,14,13,-1,0.000845275,0,-0.000845275,0.00747803,0.01,+0.00252197
Microbacterium sp. LKL04,6,6,+0,0.000362261,0,-0.000362261,0.00320487,0,-0.00320487
Micromonospora krabiensis,245,244,-1,0.0147923,0.01,-0.0047923,0.130866,0.13,-0.000866
Micromonospora maris,272,265,-7,0.0164225,0.02,+0.0035775,0.145288,0.14,-0.005288
Moorena producens,9,9,+0,0.000543391,0,-0.000543391,0.00480731,0,-0.00480731
Moritella viscosa,1045,1039,-6,0.0630937,0.06,-0.0030937,0.558182,0.55,-0.008182
Mycobacteroides chelonae,106,107,+1,0.00639994,0.01,+0.00360006,0.0566194,0.06,+0.0033806
Mycolicibacterium chubuense,4,5,+1,0.000241507,0,-0.000241507,0.00213658,0,-0.00213658
Mycolicibacterium rhodesiae,7,11,+4,0.000422637,0,-0.000422637,0.00373902,0.01,+0.00626098
Myroides profundi,93,90,-3,0.00561504,0.01,+0.00438496,0.0496755,0.05,+0.0003245
Nanoarchaeum equitans,42,43,+1,0.00253582,0,-0.00253582,0.0224341,0.02,-0.0024341
Nanohaloarchaea archaeon SG9,20,20,+0,0.00120754,0,-0.00120754,0.0106829,0.01,-0.0006829
Nautilia profundicola,8,9,+1,0.000483014,0,-0.000483014,0.00427316,0,-0.00427316
Nitratifractor salsuginis,53,49,-4,0.00319997,0,-0.00319997,0.0283097,0.03,+0.0016903
Nitratiruptor sp. SB155-2,38,38,+0,0.00229432,0,-0.00229432,0.0202975,0.02,-0.0002975
Nitrosococcus halophilus,14826,14836,+10,0.895146,0.9,+0.004854,7.91924,7.92,+0.00076
