Name,Count (cami2_sample6_abundance),Count (cami2_marine_sample6_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample6_abundance),Proportion_All(%) (cami2_marine_sample6_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample6_abundance),Proportion_Classified(%) (cami2_marine_sample6_abundance_jn05),Proportion_Classified(%) (diff)
Candidatus Filomicrobium marinum,84,85,+1,0.00513846,0.01,+0.00486154,0.0409614,0.04,-0.0009614
Candidatus Francisella endociliophora,55,54,-1,0.00336447,0,-0.00336447,0.02682,0.03,+0.00318
Candidatus Izimoplasma sp. HR1,229,229,+0,0.0140084,0.01,-0.0040084,0.111669,0.11,-0.001669
Candidatus Nitrosopelagicus brevis,3,3,+0,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Candidatus Nitrosopumilus koreensis,13,13,+0,0.000795238,0,-0.000795238,0.00633927,0.01,+0.00366073
Candidatus Nitrosopumilus sediminis,107,109,+2,0.00654542,0.01,+0.00345458,0.0521771,0.05,-0.0021771
Candidatus Pelagibacter communis,13,13,+0,0.000795238,0,-0.000795238,0.00633927,0.01,+0.00366073
Candidatus Pseudothioglobus singularis,3,5,+2,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Candidatus Puniceispirillum marinum,1,1,+0,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Candidatus Ruthturnera calyptogenae,15,15,+0,0.000917582,0,-0.000917582,0.00731454,0.01,+0.00268546
Candidatus Thioglobus autotrophicus,2,2,+0,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Candidatus Vesicomyidisocius calyptogenae,3,5,+2,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Carnobacterium sp. 17-4,6,3,-3,0.000367033,0,-0.000367033,0.00292582,0,-0.00292582
Celeribacter indicus,390,393,+3,0.0238571,0.02,-0.0038571,0.190178,0.19,-0.000178
Celeribacter marinus,5,3,-2,0.000305861,0,-0.000305861,0.00243818,0,-0.00243818
Cellulophaga algicola,165,160,-5,0.0100934,0.01,-9.34e-05,0.0804599,0.08,-0.0004599
Cellulophaga baltica,859,859,+0,0.0525469,0.05,-0.0025469,0.418879,0.42,+0.001121
Cellulophaga lytica,313,323,+10,0.0191469,0.02,+0.0008531,0.15263,0.16,+0.00737
Cereibacter sphaeroides,150,152,+2,0.00917582,0.01,+0.00082418,0.0731454,0.07,-0.0031454
Chlorobium phaeobacteroides,3,3,+0,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Chlorobium phaeovibrioides,2,1,-1,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Chloroherpeton thalassium,176,176,+0,0.0107663,0.01,-0.0007663,0.0858239,0.09,+0.0041761
Christiangramia forsetii,9,4,-5,0.000550549,0,-0.000550549,0.00438872,0,-0.00438872
Christiangramia salexigens,134,134,+0,0.00819707,0.01,+0.00180293,0.0653432,0.07,+0.0046568
Chromohalobacter israelensis,63,58,-5,0.00385385,0,-0.00385385,0.0307211,0.03,-0.0007211
Citromicrobium sp. JL477,16,15,-1,0.000978754,0,-0.000978754,0.00780218,0.01,+0.00219782
Clostridium botulinum,340,337,-3,0.0207985,0.02,-0.0007985,0.165796,0.16,-0.005796
Colwellia psychrerythraea,108,108,+0,0.00660659,0.01,+0.00339341,0.0526647,0.05,-0.0026647
Colwellia sp. MT41,799,796,-3,0.0488765,0.05,+0.0011235,0.389621,0.39,+0.000379
Colwellia sp. PAMC 20917,243,245,+2,0.0148648,0.01,-0.0048648,0.118496,0.12,+0.001504
Coraliomargarita akajimensis,85,85,+0,0.00519963,0.01,+0.00480037,0.0414491,0.04,-0.0014491
Corallococcus macrosporus,314,314,+0,0.0192081,0.02,+0.0007919,0.153118,0.15,-0.003118
Corynebacterium marinum,15,15,+0,0.000917582,0,-0.000917582,0.00731454,0.01,+0.00268546
Corynebacterium maris,10,12,+2,0.000611721,0,-0.000611721,0.00487636,0.01,+0.00512364
Corynebacterium phocae,375,379,+4,0.0229396,0.02,-0.0029396,0.182863,0.18,-0.002863
Corynebacterium sphenisci,7,9,+2,0.000428205,0,-0.000428205,0.00341345,0,-0.00341345
Corynebacterium stationis,65,61,-4,0.00397619,0,-0.00397619,0.0316963,0.03,-0.0016963
Croceibacter atlanticus,42,41,-1,0.00256923,0,-0.00256923,0.0204807,0.02,-0.0004807
Croceibacterium atlanticum,6,5,-1,0.000367033,0,-0.000367033,0.00292582,0,-0.00292582
Croceicoccus naphthovorans,17,11,-6,0.00103993,0,-0.00103993,0.00828981,0.01,+0.00171019
Crocosphaera subtropica,77,77,+0,0.00471026,0,-0.00471026,0.037548,0.04,+0.002452
Cupriavidus malaysiensis,196,200,+4,0.0119897,0.01,-0.0019897,0.0955767,0.1,+0.0044233
Cyclobacterium amurskyense,74,76,+2,0.00452674,0,-0.00452674,0.0360851,0.04,+0.0039149
Cyclobacterium marinum,4,3,-1,0.000244689,0,-0.000244689,0.00195054,0,-0.00195054
Cycloclasticus sp. P1,3777,4125,+348,0.231047,0.25,+0.018953,1.8418,2.01,+0.1682
Cycloclasticus zancles,3921,3572,-349,0.239856,0.22,-0.019856,1.91202,1.74,-0.17202
Deferribacter desulfuricans,145,145,+0,0.00886996,0.01,+0.00113004,0.0707072,0.07,-0.0007072
Denitrovibrio acetiphilus,44,45,+1,0.00269157,0,-0.00269157,0.021456,0.02,-0.001456
Desulfobacula toluolica,3431,3425,-6,0.209882,0.21,+0.000118,1.67308,1.67,-0.00308
Desulfocapsa sulfexigens,961,968,+7,0.0587864,0.06,+0.0012136,0.468618,0.47,+0.001382
Desulfococcus multivorans,1064,1064,+0,0.0650872,0.07,+0.0049128,0.518845,0.52,+0.001155
Desulfocurvibacter africanus,42,43,+1,0.00256923,0,-0.00256923,0.0204807,0.02,-0.0004807
Desulforamulus reducens,1,2,+1,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Desulforapulum autotrophicum,1656,1651,-5,0.101301,0.1,-0.001301,0.807525,0.81,+0.002475
Desulfotalea psychrophila,2223,2215,-8,0.135986,0.14,+0.004014,1.08401,1.08,-0.00401
Dinoroseobacter shibae,289,287,-2,0.0176787,0.02,+0.0023213,0.140927,0.14,-0.000927
Dokdonia donghaensis,236,236,+0,0.0144366,0.01,-0.0044366,0.115082,0.12,+0.004918
Dokdonia sp. 4H-3-7-5,524,527,+3,0.0320542,0.03,-0.0020542,0.255521,0.26,+0.004479
Dokdonia sp. MED134,228,211,-17,0.0139472,0.01,-0.0039472,0.111181,0.1,-0.011181
Dokdonia sp. PRO95,106,114,+8,0.00648425,0.01,+0.00351575,0.0516894,0.06,+0.0083106
Draconibacterium orientale,784,781,-3,0.047959,0.05,+0.002041,0.382307,0.38,-0.002307
Echinicola vietnamensis,3,3,+0,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Edwardsiella anguillarum,56,49,-7,0.00342564,0,-0.00342564,0.0273076,0.02,-0.0073076
Edwardsiella piscicida,275,290,+15,0.0168223,0.02,+0.0031777,0.1341,0.14,+0.0059
Erythrobacter litoralis,1254,1263,+9,0.0767099,0.08,+0.0032901,0.611496,0.62,+0.008504
Ferrimonas balearica,66,62,-4,0.00403736,0,-0.00403736,0.032184,0.03,-0.002184
Ferroglobus placidus,1,1,+0,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Fervidobacterium pennivorans,3,2,-1,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Fibrella aestuarina,1,1,+0,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Flagellimonas lutaonensis,71,70,-1,0.00434322,0,-0.00434322,0.0346222,0.03,-0.0046222
Flagellimonas ruestringensis,187,187,+0,0.0114392,0.01,-0.0014392,0.0911879,0.09,-0.0011879
Flammeovirga sp. MY04,3327,3340,+13,0.20352,0.2,-0.00352,1.62236,1.63,+0.00764
Flavobacteriaceae bacterium MAR_2010_188,189,187,-2,0.0115615,0.01,-0.0015615,0.0921632,0.09,-0.0021632
Flavobacteriaceae bacterium UJ101,41,41,+0,0.00250806,0,-0.00250806,0.0199931,0.02,+6.9e-06
Flavobacterium crassostreae,23,14,-9,0.00140696,0,-0.00140696,0.0112156,0.01,-0.0012156
Flavobacterium psychrophilum,5696,5734,+38,0.348437,0.35,+0.001563,2.77757,2.8,+0.02243
Flexistipes sinusarabici,164,164,+0,0.0100322,0.01,-3.22e-05,0.0799723,0.08,+2.77e-05
Formosa agariphila,17,18,+1,0.00103993,0,-0.00103993,0.00828981,0.01,+0.00171019
Formosa haliotis,178,176,-2,0.0108886,0.01,-0.0008886,0.0867992,0.09,+0.0032008
Formosa sp. Hel1_33_131,7,3,-4,0.000428205,0,-0.000428205,0.00341345,0,-0.00341345
Formosa sp. Hel3_A1_48,152,151,-1,0.00929817,0.01,+0.00070183,0.0741207,0.07,-0.0041207
Francisella orientalis,170,167,-3,0.0103993,0.01,-0.0003993,0.0828981,0.08,-0.0028981
Francisella uliginis,43,38,-5,0.0026304,0,-0.0026304,0.0209683,0.02,-0.0009683
Geobacillus kaustophilus,8,7,-1,0.000489377,0,-0.000489377,0.00390109,0,-0.00390109
Geoglobus ahangari,25,24,-1,0.0015293,0,-0.0015293,0.0121909,0.01,-0.0021909
Gillisia sp. Hel1_33_143,105,108,+3,0.00642308,0.01,+0.00357692,0.0512018,0.05,-0.0012018
Glaciecola sp. 4H-3-7+YE-5,843,841,-2,0.0515681,0.05,-0.0015681,0.411077,0.41,-0.001077
Gloeomargarita lithophora,121,120,-1,0.00740183,0.01,+0.00259817,0.059004,0.06,+0.000996
Gramella sp. MAR_2010_102,45,44,-1,0.00275275,0,-0.00275275,0.0219436,0.02,-0.0019436
Gramella sp. MAR_2010_147,9,8,-1,0.000550549,0,-0.000550549,0.00438872,0,-0.00438872
Hahella chejuensis,897,898,+1,0.0548714,0.05,-0.0048714,0.437409,0.44,+0.002591
Halanaeroarchaeum sulfurireducens,59,60,+1,0.00360916,0,-0.00360916,0.0287705,0.03,+0.0012295
Haliangium ochraceum,5,2,-3,0.000305861,0,-0.000305861,0.00243818,0,-0.00243818
Haloarcula hispanica,114,123,+9,0.00697362,0.01,+0.00302638,0.0555905,0.06,+0.0044095
Haloarcula sp. CBA1115,150,140,-10,0.00917582,0.01,+0.00082418,0.0731454,0.07,-0.0031454
Halobacteriovorax marinus,83,84,+1,0.00507729,0.01,+0.00492271,0.0404738,0.04,-0.0004738
Halodesulfurarchaeum formicicum,1,1,+0,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Haloferax gibbonsii,42,43,+1,0.00256923,0,-0.00256923,0.0204807,0.02,-0.0004807
Haloferax mediterranei,38,38,+0,0.00232454,0,-0.00232454,0.0185302,0.02,+0.0014698
Halogeometricum borinquense,N/A,1,N/A,N/A,0,N/A,N/A,0,N/A
Halolamina sediminis,1,N/A,N/A,6.11721e-05,N/A,N/A,0.000487636,N/A,N/A
Halomonas aestuarii,593,586,-7,0.0362751,0.04,+0.0037249,0.289168,0.29,+0.000832
Halomonas elongata,46,44,-2,0.00281392,0,-0.00281392,0.0224313,0.02,-0.0024313
Halomonas sp. A3H3,960,955,-5,0.0587253,0.06,+0.0012747,0.468131,0.47,+0.001869
Halomonas sp. R57-5,179,191,+12,0.0109498,0.01,-0.0009498,0.0872868,0.09,+0.0027132
Halopseudomonas litoralis,49,44,-5,0.00299744,0,-0.00299744,0.0238942,0.02,-0.0038942
Haloquadratum walsbyi,215,215,+0,0.013152,0.01,-0.003152,0.104842,0.1,-0.004842
Halorhabdus tiamatea,137,136,-1,0.00838058,0.01,+0.00161942,0.0668061,0.07,+0.0031939
Helicobacter cetorum,2,2,+0,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Helicobacter enhydrae,3,2,-1,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Hirschia baltica,25,26,+1,0.0015293,0,-0.0015293,0.0121909,0.01,-0.0021909
Hoeflea sp. IMCC20628,182,180,-2,0.0111333,0.01,-0.0011333,0.0887498,0.09,+0.0012502
Hydrogenophaga crassostreae,2,1,-1,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Hydrogenovibrio crunogenus,2,2,+0,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Hyperthermus butylicus,3109,3111,+2,0.190184,0.19,-0.000184,1.51606,1.52,+0.00394
Hyphomicrobium nitrativorans,312,312,+0,0.0190857,0.02,+0.0009143,0.152142,0.15,-0.002142
Hyphomonas neptunium,173,171,-2,0.0105828,0.01,-0.0005828,0.084361,0.08,-0.004361
Hyphomonas sp. Mor2,72,71,-1,0.00440439,0,-0.00440439,0.0351098,0.03,-0.0051098
Idiomarina loihiensis,13,10,-3,0.000795238,0,-0.000795238,0.00633927,0,-0.00633927
Ignicoccus hospitalis,2,2,+0,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Ignicoccus islandicus,32,31,-1,0.00195751,0,-0.00195751,0.0156044,0.02,+0.0043956
Ilumatobacter coccineus,1023,1022,-1,0.0625791,0.06,-0.0025791,0.498852,0.5,+0.001148
Ilyobacter polytropus,728,727,-1,0.0445333,0.04,-0.0045333,0.354999,0.35,-0.004999
Isoalcanivorax pacificus,7,14,+7,0.000428205,0,-0.000428205,0.00341345,0.01,+0.00658655
Jannaschia sp. CCS1,100,100,+0,0.00611721,0.01,+0.00388279,0.0487636,0.05,+0.0012364
Kangiella geojedonensis,345,343,-2,0.0211044,0.02,-0.0011044,0.168234,0.17,+0.001766
Kangiella koreensis,98,99,+1,0.00599487,0.01,+0.00400513,0.0477883,0.05,+0.0022117
Kangiella sediminilitoris,6,3,-3,0.000367033,0,-0.000367033,0.00292582,0,-0.00292582
Kosmotoga olearia,28,27,-1,0.00171282,0,-0.00171282,0.0136538,0.01,-0.0036538
Kosmotoga pacifica,1,1,+0,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Kytococcus sedentarius,7,4,-3,0.000428205,0,-0.000428205,0.00341345,0,-0.00341345
Lacimicrobium alkaliphilum,10,8,-2,0.000611721,0,-0.000611721,0.00487636,0,-0.00487636
Lacinutrix sp. 5H-3-7-4,187,186,-1,0.0114392,0.01,-0.0014392,0.0911879,0.09,-0.0011879
Lactococcus garvieae,63,65,+2,0.00385385,0,-0.00385385,0.0307211,0.03,-0.0007211
Leisingera methylohalidivorans,76,74,-2,0.00464908,0,-0.00464908,0.0370603,0.04,+0.0029397
Leuconostoc lactis,41,40,-1,0.00250806,0,-0.00250806,0.0199931,0.02,+6.9e-06
Luteimonas sp. JM171,8,12,+4,0.000489377,0,-0.000489377,0.00390109,0.01,+0.00609891
Magnetococcus marinus,188,189,+1,0.0115004,0.01,-0.0015004,0.0916756,0.09,-0.0016756
Magnetospira sp. QH-2,1123,1121,-2,0.0686963,0.07,+0.0013037,0.547615,0.55,+0.002385
Maribacter sp. 1_2014MBL_MicDiv,583,543,-40,0.0356634,0.03,-0.0056634,0.284292,0.26,-0.024292
Maribacter sp. HTCC2170,87,85,-2,0.00532198,0.01,+0.00467802,0.0424243,0.04,-0.0024243
Maribacter sp. MAR_2009_60,753,802,+49,0.0460626,0.05,+0.0039374,0.36719,0.39,+0.02281
Maricaulis maris,30,28,-2,0.00183516,0,-0.00183516,0.0146291,0.01,-0.0046291
Maridesulfovibrio hydrothermalis,792,788,-4,0.0484483,0.05,+0.0015517,0.386208,0.38,-0.006208
Maridesulfovibrio salexigens,17,25,+8,0.00103993,0,-0.00103993,0.00828981,0.01,+0.00171019
Marinithermus hydrothermalis,46,46,+0,0.00281392,0,-0.00281392,0.0224313,0.02,-0.0024313
Marinitoga piezophila,71,66,-5,0.00434322,0,-0.00434322,0.0346222,0.03,-0.0046222
Marinitoga sp. 1137,78,82,+4,0.00477143,0.01,+0.00522857,0.0380356,0.04,+0.0019644
Marinobacter adhaerens,70,64,-6,0.00428205,0,-0.00428205,0.0341345,0.03,-0.0041345
Marinobacter nauticus,571,584,+13,0.0349293,0.04,+0.0050707,0.27844,0.28,+0.00156
Marinobacter psychrophilus,311,331,+20,0.0190245,0.02,+0.0009755,0.151655,0.16,+0.008345
Marinobacter salarius,359,363,+4,0.0219608,0.02,-0.0019608,0.175061,0.18,+0.004939
Marinobacter salinus,50,47,-3,0.00305861,0,-0.00305861,0.0243818,0.02,-0.0043818
Marinobacter similis,407,401,-6,0.0248971,0.02,-0.0048971,0.198468,0.2,+0.001532
Marinobacter sp. BSs20148,327,314,-13,0.0200033,0.02,-3.3e-06,0.159457,0.15,-0.009457
Marinobacter sp. CP1,153,149,-4,0.00935934,0.01,+0.00064066,0.0746083,0.07,-0.0046083
Marinobacterium aestuarii,183,179,-4,0.0111945,0.01,-0.0011945,0.0892374,0.09,+0.0007626
Marinomonas mediterranea,548,556,+8,0.0335223,0.03,-0.0035223,0.267225,0.27,+0.002775
Marinomonas posidonica,1728,1722,-6,0.105705,0.11,+0.004295,0.842635,0.84,-0.002635
Marinomonas sp. MWYL1,108,94,-14,0.00660659,0.01,+0.00339341,0.0526647,0.05,-0.0026647
Marinovum algicola,52,53,+1,0.00318095,0,-0.00318095,0.0253571,0.03,+0.0046429
Marivirga tractuosa,307,306,-1,0.0187798,0.02,+0.0012202,0.149704,0.15,+0.000296
Marivivens sp. JLT3646,7,3,-4,0.000428205,0,-0.000428205,0.00341345,0,-0.00341345
Methanocaldococcus bathoardescens,6,9,+3,0.000367033,0,-0.000367033,0.00292582,0,-0.00292582
Methanocaldococcus fervens,5,3,-2,0.000305861,0,-0.000305861,0.00243818,0,-0.00243818
Methanocaldococcus infernus,1,1,+0,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Methanocaldococcus jannaschii,6,4,-2,0.000367033,0,-0.000367033,0.00292582,0,-0.00292582
Methanocaldococcus sp. FS406-22,48,45,-3,0.00293626,0,-0.00293626,0.0234065,0.02,-0.0034065
Methanocaldococcus vulcanius,202,205,+3,0.0123568,0.01,-0.0023568,0.0985025,0.1,+0.0014975
Methanococcoides methylutens,2,3,+1,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Methanococcus aeolicus,3,2,-1,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Methanococcus maripaludis,306,309,+3,0.0187187,0.02,+0.0012813,0.149217,0.15,+0.000783
Methanococcus vannielii,22,22,+0,0.00134579,0,-0.00134579,0.010728,0.01,-0.000728
Methanococcus voltae,60,61,+1,0.00367033,0,-0.00367033,0.0292582,0.03,+0.0007418
Methanoculleus marisnigri,30,30,+0,0.00183516,0,-0.00183516,0.0146291,0.01,-0.0046291
Methanohalobium evestigatum,26,26,+0,0.00159048,0,-0.00159048,0.0126785,0.01,-0.0026785
Methanohalophilus halophilus,1,1,+0,6.11721e-05,0,-6.11721e-05,0.000487636,0,-0.000487636
Methanolacinia petrolearia,92,91,-1,0.00562784,0.01,+0.00437216,0.0448625,0.04,-0.0048625
Methanopyrus kandleri,2,2,+0,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Methanosarcina acetivorans,73,66,-7,0.00446557,0,-0.00446557,0.0355974,0.03,-0.0055974
Methanosarcina siciliae,1208,1215,+7,0.0738959,0.07,-0.0038959,0.589064,0.59,+0.000936
Methanosarcina sp. MTP4,138,138,+0,0.00844176,0.01,+0.00155824,0.0672938,0.07,+0.0027062
Methanosarcina sp. WH1,8,7,-1,0.000489377,0,-0.000489377,0.00390109,0,-0.00390109
Methanothermococcus okinawensis,82,83,+1,0.00501612,0.01,+0.00498388,0.0399862,0.04,+1.38e-05
Methanotorris igneus,3,4,+1,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Methyloceanibacter caenitepidi,743,740,-3,0.0454509,0.05,+0.0045491,0.362314,0.36,-0.002314
Methylomonas methanica,734,731,-3,0.0449004,0.04,-0.0049004,0.357925,0.36,+0.002075
Methylophaga frappieri,26,20,-6,0.00159048,0,-0.00159048,0.0126785,0.01,-0.0026785
Methylophaga nitratireducenticrescens,36,36,+0,0.0022022,0,-0.0022022,0.0175549,0.02,+0.0024451
Methylophilales bacterium MBRS-H7,12,12,+0,0.000734066,0,-0.000734066,0.00585163,0.01,+0.00414837
Methylophilales bacterium MBRSF5,74,77,+3,0.00452674,0,-0.00452674,0.0360851,0.04,+0.0039149
Methylophilales bacterium MBRSG12,19,16,-3,0.00116227,0,-0.00116227,0.00926508,0.01,+0.00073492
Microbacterium sp. LKL04,10,8,-2,0.000611721,0,-0.000611721,0.00487636,0,-0.00487636
Micromonospora krabiensis,82,83,+1,0.00501612,0.01,+0.00498388,0.0399862,0.04,+1.38e-05
Micromonospora maris,22,21,-1,0.00134579,0,-0.00134579,0.010728,0.01,-0.000728
Moorena producens,720,721,+1,0.0440439,0.04,-0.0040439,0.351098,0.35,-0.001098
Moritella viscosa,1848,1832,-16,0.113046,0.11,-0.003046,0.901151,0.89,-0.011151
Mycobacteroides chelonae,3,2,-1,0.000183516,0,-0.000183516,0.00146291,0,-0.00146291
Mycolicibacterium chubuense,4,6,+2,0.000244689,0,-0.000244689,0.00195054,0,-0.00195054
Mycolicibacterium rhodesiae,2,3,+1,0.000122344,0,-0.000122344,0.000975272,0,-0.000975272
Myroides profundi,5,4,-1,0.000305861,0,-0.000305861,0.00243818,0,-0.00243818
Nanoarchaeum equitans,36,38,+2,0.0022022,0,-0.0022022,0.0175549,0.02,+0.0024451
Nanohaloarchaea archaeon SG9,13,13,+0,0.000795238,0,-0.000795238,0.00633927,0.01,+0.00366073
Nautilia profundicola,28,30,+2,0.00171282,0,-0.00171282,0.0136538,0.01,-0.0036538
Neorickettsia helminthoeca,11,10,-1,0.000672894,0,-0.000672894,0.005364,0,-0.005364
