Name,Count (cami2_sample8_abundance),Count (cami2_marine_sample8_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample8_abundance),Proportion_All(%) (cami2_marine_sample8_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample8_abundance),Proportion_Classified(%) (cami2_marine_sample8_abundance_jn05),Proportion_Classified(%) (diff)
Candidatus Francisella endociliophora,1,1,+0,6.10708e-05,0,-6.10708e-05,0.000505005,0,-0.000505005
Candidatus Izimoplasma sp. HR1,136,139,+3,0.00830563,0.01,+0.00169437,0.0686806,0.07,+0.0013194
Candidatus Nitrosopelagicus brevis,27,28,+1,0.00164891,0,-0.00164891,0.0136351,0.01,-0.0036351
Candidatus Nitrosopumilus koreensis,8,8,+0,0.000488567,0,-0.000488567,0.00404004,0,-0.00404004
Candidatus Nitrosopumilus sediminis,137,138,+1,0.0083667,0.01,+0.0016333,0.0691856,0.07,+0.0008144
Candidatus Pelagibacter communis,16,16,+0,0.000977133,0,-0.000977133,0.00808007,0.01,+0.00191993
Candidatus Pelagibacter sp. IMCC9063,4,4,+0,0.000244283,0,-0.000244283,0.00202002,0,-0.00202002
Candidatus Pseudothioglobus singularis,68,68,+0,0.00415282,0,-0.00415282,0.0343403,0.03,-0.0043403
Candidatus Puniceispirillum marinum,1,2,+1,6.10708e-05,0,-6.10708e-05,0.000505005,0,-0.000505005
Candidatus Ruthturnera calyptogenae,3,4,+1,0.000183212,0,-0.000183212,0.00151501,0,-0.00151501
Candidatus Thioglobus autotrophicus,34,34,+0,0.00207641,0,-0.00207641,0.0171702,0.02,+0.0028298
Candidatus Vesicomyidisocius calyptogenae,3,4,+1,0.000183212,0,-0.000183212,0.00151501,0,-0.00151501
Carnobacterium sp. 17-4,8,5,-3,0.000488567,0,-0.000488567,0.00404004,0,-0.00404004
Celeribacter indicus,117,125,+8,0.00714529,0.01,+0.00285471,0.0590855,0.06,+0.0009145
Celeribacter marinus,56,56,+0,0.00341997,0,-0.00341997,0.0282803,0.03,+0.0017197
Cellulophaga algicola,68,65,-3,0.00415282,0,-0.00415282,0.0343403,0.03,-0.0043403
Cellulophaga baltica,428,428,+0,0.0261383,0.03,+0.0038617,0.216142,0.22,+0.003858
Cellulophaga lytica,705,709,+4,0.0430549,0.04,-0.0030549,0.356028,0.36,+0.003972
Cereibacter sphaeroides,8,6,-2,0.000488567,0,-0.000488567,0.00404004,0,-0.00404004
Chlorobium phaeobacteroides,1,N/A,N/A,6.10708e-05,N/A,N/A,0.000505005,N/A,N/A
Chlorobium phaeovibrioides,3,4,+1,0.000183212,0,-0.000183212,0.00151501,0,-0.00151501
Chloroherpeton thalassium,273,273,+0,0.0166723,0.02,+0.0033277,0.137866,0.14,+0.002134
Christiangramia forsetii,159,154,-5,0.00971026,0.01,+0.00028974,0.0802957,0.08,-0.0002957
Christiangramia salexigens,60,59,-1,0.00366425,0,-0.00366425,0.0303003,0.03,-0.0003003
Chromohalobacter israelensis,14,11,-3,0.000854992,0,-0.000854992,0.00707006,0.01,+0.00292994
Citromicrobium sp. JL477,38,36,-2,0.00232069,0,-0.00232069,0.0191902,0.02,+0.0008098
Clostridium botulinum,511,510,-1,0.0312072,0.03,-0.0012072,0.258057,0.26,+0.001943
Colwellia psychrerythraea,1075,1084,+9,0.0656511,0.07,+0.0043489,0.54288,0.55,+0.00712
Colwellia sp. MT41,543,536,-7,0.0331615,0.03,-0.0031615,0.274217,0.27,-0.004217
Colwellia sp. PAMC 20917,63,59,-4,0.00384746,0,-0.00384746,0.0318153,0.03,-0.0018153
Coraliomargarita akajimensis,2,2,+0,0.000122142,0,-0.000122142,0.00101001,0,-0.00101001
Corallococcus macrosporus,412,412,+0,0.0251612,0.03,+0.0048388,0.208062,0.21,+0.001938
Corynebacterium marinum,3,3,+0,0.000183212,0,-0.000183212,0.00151501,0,-0.00151501
Corynebacterium maris,31,32,+1,0.0018932,0,-0.0018932,0.0156551,0.02,+0.0043449
Corynebacterium phocae,191,196,+5,0.0116645,0.01,-0.0016645,0.0964559,0.1,+0.0035441
Corynebacterium sphenisci,3,2,-1,0.000183212,0,-0.000183212,0.00151501,0,-0.00151501
Corynebacterium stationis,6,3,-3,0.000366425,0,-0.000366425,0.00303003,0,-0.00303003
Croceibacter atlanticus,29,29,+0,0.00177105,0,-0.00177105,0.0146451,0.01,-0.0046451
Croceibacterium atlanticum,41,41,+0,0.0025039,0,-0.0025039,0.0207052,0.02,-0.0007052
Croceicoccus naphthovorans,126,120,-6,0.00769492,0.01,+0.00230508,0.0636306,0.06,-0.0036306
Crocosphaera subtropica,151,151,+0,0.0092217,0.01,+0.0007783,0.0762557,0.08,+0.0037443
Cupriavidus malaysiensis,22,26,+4,0.00134356,0,-0.00134356,0.0111101,0.01,-0.0011101
Cyclobacterium amurskyense,26,26,+0,0.00158784,0,-0.00158784,0.0131301,0.01,-0.0031301
Cyclobacterium marinum,336,333,-3,0.0205198,0.02,-0.0005198,0.169682,0.17,+0.000318
Cycloclasticus sp. P1,2599,2826,+227,0.158723,0.17,+0.011277,1.31251,1.43,+0.11749
Cycloclasticus zancles,2285,2057,-228,0.139547,0.13,-0.009547,1.15394,1.04,-0.11394
Deferribacter desulfuricans,1,N/A,N/A,6.10708e-05,N/A,N/A,0.000505005,N/A,N/A
Denitrovibrio acetiphilus,125,126,+1,0.00763385,0.01,+0.00236615,0.0631256,0.06,-0.0031256
Desulfobacula toluolica,444,439,-5,0.0271154,0.03,+0.0028846,0.224222,0.22,-0.004222
Desulfocapsa sulfexigens,136,137,+1,0.00830563,0.01,+0.00169437,0.0686806,0.07,+0.0013194
Desulfococcus multivorans,883,881,-2,0.0539255,0.05,-0.0039255,0.445919,0.44,-0.005919
Desulfocurvibacter africanus,449,450,+1,0.0274208,0.03,+0.0025792,0.226747,0.23,+0.003253
Desulforamulus reducens,4,5,+1,0.000244283,0,-0.000244283,0.00202002,0,-0.00202002
Desulforapulum autotrophicum,660,660,+0,0.0403067,0.04,-0.0003067,0.333303,0.33,-0.003303
Desulfotalea psychrophila,1248,1242,-6,0.0762164,0.08,+0.0037836,0.630246,0.63,-0.000246
Dinoroseobacter shibae,526,524,-2,0.0321233,0.03,-0.0021233,0.265632,0.26,-0.005632
Dokdonia donghaensis,144,146,+2,0.0087942,0.01,+0.0012058,0.0727207,0.07,-0.0027207
Dokdonia sp. 4H-3-7-5,393,391,-2,0.0240008,0.02,-0.0040008,0.198467,0.2,+0.001533
Dokdonia sp. MED134,92,86,-6,0.00561852,0.01,+0.00438148,0.0464604,0.04,-0.0064604
Dokdonia sp. PRO95,158,161,+3,0.00964919,0.01,+0.00035081,0.0797907,0.08,+0.0002093
Draconibacterium orientale,291,291,+0,0.0177716,0.02,+0.0022284,0.146956,0.15,+0.003044
Echinicola vietnamensis,6,5,-1,0.000366425,0,-0.000366425,0.00303003,0,-0.00303003
Edwardsiella anguillarum,81,71,-10,0.00494674,0,-0.00494674,0.0409054,0.04,-0.0009054
Edwardsiella piscicida,447,467,+20,0.0272987,0.03,+0.0027013,0.225737,0.24,+0.014263
Erythrobacter litoralis,950,961,+11,0.0580173,0.06,+0.0019827,0.479754,0.49,+0.010246
Ferrimonas balearica,8,8,+0,0.000488567,0,-0.000488567,0.00404004,0,-0.00404004
Ferroglobus placidus,1,N/A,N/A,6.10708e-05,N/A,N/A,0.000505005,N/A,N/A
Fervidobacterium pennivorans,2,2,+0,0.000122142,0,-0.000122142,0.00101001,0,-0.00101001
Flagellimonas lutaonensis,28,26,-2,0.00170998,0,-0.00170998,0.0141401,0.01,-0.0041401
Flagellimonas ruestringensis,228,229,+1,0.0139241,0.01,-0.0039241,0.115141,0.12,+0.004859
Flammeovirga sp. MY04,3783,3800,+17,0.231031,0.23,-0.001031,1.91043,1.92,+0.00957
Flavobacteriaceae bacterium MAR_2010_188,12,11,-1,0.00073285,0,-0.00073285,0.00606006,0.01,+0.00393994
Flavobacteriaceae bacterium UJ101,65,63,-2,0.0039696,0,-0.0039696,0.0328253,0.03,-0.0028253
Flavobacterium crassostreae,84,81,-3,0.00512995,0,-0.00512995,0.0424204,0.04,-0.0024204
Flavobacterium psychrophilum,1524,1539,+15,0.0930719,0.09,-0.0030719,0.769627,0.78,+0.010373
Flexistipes sinusarabici,3,2,-1,0.000183212,0,-0.000183212,0.00151501,0,-0.00151501
Formosa agariphila,109,106,-3,0.00665672,0.01,+0.00334328,0.0550455,0.05,-0.0050455
Formosa haliotis,41,43,+2,0.0025039,0,-0.0025039,0.0207052,0.02,-0.0007052
Formosa sp. Hel1_33_131,11,8,-3,0.000671779,0,-0.000671779,0.00555505,0,-0.00555505
Formosa sp. Hel3_A1_48,29,27,-2,0.00177105,0,-0.00177105,0.0146451,0.01,-0.0046451
Francisella orientalis,133,135,+2,0.00812242,0.01,+0.00187758,0.0671656,0.07,+0.0028344
Francisella uliginis,20,20,+0,0.00122142,0,-0.00122142,0.0101001,0.01,-0.0001001
Geobacillus kaustophilus,140,141,+1,0.00854992,0.01,+0.00145008,0.0707006,0.07,-0.0007006
Geoglobus ahangari,25,25,+0,0.00152677,0,-0.00152677,0.0126251,0.01,-0.0026251
Gillisia sp. Hel1_33_143,10,14,+4,0.000610708,0,-0.000610708,0.00505005,0.01,+0.00494995
Glaciecola sp. 4H-3-7+YE-5,386,379,-7,0.0235733,0.02,-0.0035733,0.194932,0.19,-0.004932
Gloeomargarita lithophora,144,144,+0,0.0087942,0.01,+0.0012058,0.0727207,0.07,-0.0027207
Gramella sp. MAR_2010_102,140,139,-1,0.00854992,0.01,+0.00145008,0.0707006,0.07,-0.0007006
Gramella sp. MAR_2010_147,14,10,-4,0.000854992,0,-0.000854992,0.00707006,0.01,+0.00292994
Hahella chejuensis,637,639,+2,0.0389021,0.04,+0.0010979,0.321688,0.32,-0.001688
Halanaeroarchaeum sulfurireducens,1,1,+0,6.10708e-05,0,-6.10708e-05,0.000505005,0,-0.000505005
Haliangium ochraceum,83,83,+0,0.00506888,0.01,+0.00493112,0.0419154,0.04,-0.0019154
Haloarcula hispanica,1,N/A,N/A,6.10708e-05,N/A,N/A,0.000505005,N/A,N/A
Haloarcula sp. CBA1115,2,2,+0,0.000122142,0,-0.000122142,0.00101001,0,-0.00101001
Halobacteriovorax marinus,163,164,+1,0.00995454,0.01,+4.546e-05,0.0823157,0.08,-0.0023157
Halodesulfurarchaeum formicicum,17,17,+0,0.0010382,0,-0.0010382,0.00858508,0.01,+0.00141492
Haloferax gibbonsii,36,36,+0,0.00219855,0,-0.00219855,0.0181802,0.02,+0.0018198
Haloferax mediterranei,1,1,+0,6.10708e-05,0,-6.10708e-05,0.000505005,0,-0.000505005
Halolamina sediminis,1,1,+0,6.10708e-05,0,-6.10708e-05,0.000505005,0,-0.000505005
Halomonas aestuarii,449,440,-9,0.0274208,0.03,+0.0025792,0.226747,0.22,-0.006747
Halomonas elongata,31,29,-2,0.0018932,0,-0.0018932,0.0156551,0.01,-0.0056551
Halomonas sp. A3H3,1284,1269,-15,0.0784149,0.08,+0.0015851,0.648426,0.64,-0.008426
Halomonas sp. R57-5,161,180,+19,0.0098324,0.01,+0.0001676,0.0813057,0.09,+0.0086943
Halopseudomonas litoralis,11,8,-3,0.000671779,0,-0.000671779,0.00555505,0,-0.00555505
Haloquadratum walsbyi,427,428,+1,0.0260772,0.03,+0.0039228,0.215637,0.22,+0.004363
Halorhabdus tiamatea,46,46,+0,0.00280926,0,-0.00280926,0.0232302,0.02,-0.0032302
Helicobacter cetorum,2,4,+2,0.000122142,0,-0.000122142,0.00101001,0,-0.00101001
Helicobacter enhydrae,7,6,-1,0.000427496,0,-0.000427496,0.00353503,0,-0.00353503
Hirschia baltica,58,57,-1,0.00354211,0,-0.00354211,0.0292903,0.03,+0.0007097
Hoeflea sp. IMCC20628,135,134,-1,0.00824456,0.01,+0.00175544,0.0681756,0.07,+0.0018244
Hydrogenophaga crassostreae,169,169,+0,0.010321,0.01,-0.000321,0.0853458,0.09,+0.0046542
Hydrogenovibrio crunogenus,4,6,+2,0.000244283,0,-0.000244283,0.00202002,0,-0.00202002
Hyperthermus butylicus,5669,5667,-2,0.346211,0.35,+0.003789,2.86287,2.86,-0.00287
Hyphomicrobium nitrativorans,573,572,-1,0.0349936,0.03,-0.0049936,0.289368,0.29,+0.000632
Hyphomonas neptunium,204,203,-1,0.0124584,0.01,-0.0024584,0.103021,0.1,-0.003021
Hyphomonas sp. Mor2,59,56,-3,0.00360318,0,-0.00360318,0.0297953,0.03,+0.0002047
Idiomarina loihiensis,10,8,-2,0.000610708,0,-0.000610708,0.00505005,0,-0.00505005
Ignicoccus hospitalis,7,6,-1,0.000427496,0,-0.000427496,0.00353503,0,-0.00353503
Ignicoccus islandicus,4,4,+0,0.000244283,0,-0.000244283,0.00202002,0,-0.00202002
Ilumatobacter coccineus,500,498,-2,0.0305354,0.03,-0.0005354,0.252502,0.25,-0.002502
Ilyobacter polytropus,162,159,-3,0.00989347,0.01,+0.00010653,0.0818107,0.08,-0.0018107
Isoalcanivorax pacificus,12,16,+4,0.00073285,0,-0.00073285,0.00606006,0.01,+0.00393994
Jannaschia sp. CCS1,214,214,+0,0.0130692,0.01,-0.0030692,0.108071,0.11,+0.001929
Kangiella geojedonensis,159,158,-1,0.00971026,0.01,+0.00028974,0.0802957,0.08,-0.0002957
Kangiella koreensis,55,56,+1,0.0033589,0,-0.0033589,0.0277753,0.03,+0.0022247
Kangiella sediminilitoris,8,7,-1,0.000488567,0,-0.000488567,0.00404004,0,-0.00404004
Kiritimatiella glycovorans,119,119,+0,0.00726743,0.01,+0.00273257,0.0600955,0.06,-9.55e-05
Kosmotoga olearia,25,24,-1,0.00152677,0,-0.00152677,0.0126251,0.01,-0.0026251
Kytococcus sedentarius,24,23,-1,0.0014657,0,-0.0014657,0.0121201,0.01,-0.0021201
Lacimicrobium alkaliphilum,130,126,-4,0.00793921,0.01,+0.00206079,0.0656506,0.06,-0.0056506
Lacinutrix sp. 5H-3-7-4,545,543,-2,0.0332836,0.03,-0.0032836,0.275228,0.27,-0.005228
Lactococcus garvieae,100,102,+2,0.00610708,0.01,+0.00389292,0.0505005,0.05,-0.0005005
Leisingera methylohalidivorans,65,64,-1,0.0039696,0,-0.0039696,0.0328253,0.03,-0.0028253
Leuconostoc lactis,36,33,-3,0.00219855,0,-0.00219855,0.0181802,0.02,+0.0018198
Luteimonas sp. JM171,204,205,+1,0.0124584,0.01,-0.0024584,0.103021,0.1,-0.003021
Magnetococcus marinus,1206,1206,+0,0.0736514,0.07,-0.0036514,0.609036,0.61,+0.000964
Magnetospira sp. QH-2,1875,1875,+0,0.114508,0.11,-0.004508,0.946884,0.95,+0.003116
Maribacter sp. 1_2014MBL_MicDiv,199,183,-16,0.0121531,0.01,-0.0021531,0.100496,0.09,-0.010496
Maribacter sp. HTCC2170,90,88,-2,0.00549637,0.01,+0.00450363,0.0454504,0.04,-0.0054504
Maribacter sp. MAR_2009_60,325,342,+17,0.019848,0.02,+0.000152,0.164126,0.17,+0.005874
Maricaulis maris,53,52,-1,0.00323675,0,-0.00323675,0.0267652,0.03,+0.0032348
Maridesulfovibrio hydrothermalis,812,809,-3,0.0495895,0.05,+0.0004105,0.410064,0.41,-6.4e-05
Maridesulfovibrio salexigens,792,798,+6,0.0483681,0.05,+0.0016319,0.399964,0.4,+3.6e-05
Marinithermus hydrothermalis,289,289,+0,0.0176495,0.02,+0.0023505,0.145946,0.15,+0.004054
Marinitoga piezophila,38,35,-3,0.00232069,0,-0.00232069,0.0191902,0.02,+0.0008098
Marinitoga sp. 1137,35,40,+5,0.00213748,0,-0.00213748,0.0176752,0.02,+0.0023248
Marinobacter adhaerens,61,58,-3,0.00372532,0,-0.00372532,0.0308053,0.03,-0.0008053
Marinobacter nauticus,487,495,+8,0.0297415,0.03,+0.0002585,0.245937,0.25,+0.004063
Marinobacter psychrophilus,140,157,+17,0.00854992,0.01,+0.00145008,0.0707006,0.08,+0.0092994
Marinobacter salarius,1491,1498,+7,0.0910566,0.09,-0.0010566,0.752962,0.76,+0.007038
Marinobacter salinus,114,110,-4,0.00696207,0.01,+0.00303793,0.0575705,0.06,+0.0024295
Marinobacter similis,476,465,-11,0.0290697,0.03,+0.0009303,0.240382,0.23,-0.010382
Marinobacter sp. BSs20148,263,255,-8,0.0160616,0.02,+0.0039384,0.132816,0.13,-0.002816
Marinobacter sp. CP1,80,74,-6,0.00488567,0,-0.00488567,0.0404004,0.04,-0.0004004
Marinobacterium aestuarii,110,100,-10,0.00671779,0.01,+0.00328221,0.0555505,0.05,-0.0055505
Marinomonas mediterranea,793,817,+24,0.0484292,0.05,+0.0015708,0.400469,0.41,+0.009531
Marinomonas posidonica,2449,2461,+12,0.149562,0.15,+0.000438,1.23676,1.24,+0.00324
Marinomonas sp. MWYL1,644,627,-17,0.0393296,0.04,+0.0006704,0.325223,0.32,-0.005223
Marinovum algicola,73,73,+0,0.00445817,0,-0.00445817,0.0368653,0.04,+0.0031347
Marivirga tractuosa,747,746,-1,0.0456199,0.05,+0.0043801,0.377238,0.38,+0.002762
Marivivens sp. JLT3646,6,4,-2,0.000366425,0,-0.000366425,0.00303003,0,-0.00303003
Methanocaldococcus bathoardescens,33,33,+0,0.00201534,0,-0.00201534,0.0166652,0.02,+0.0033348
Methanocaldococcus fervens,36,36,+0,0.00219855,0,-0.00219855,0.0181802,0.02,+0.0018198
Methanocaldococcus infernus,3,2,-1,0.000183212,0,-0.000183212,0.00151501,0,-0.00151501
Methanocaldococcus jannaschii,33,30,-3,0.00201534,0,-0.00201534,0.0166652,0.02,+0.0033348
Methanocaldococcus sp. FS406-22,6,4,-2,0.000366425,0,-0.000366425,0.00303003,0,-0.00303003
Methanocaldococcus vulcanius,99,104,+5,0.00604601,0.01,+0.00395399,0.0499955,0.05,+4.5e-06
Methanococcus aeolicus,1,1,+0,6.10708e-05,0,-6.10708e-05,0.000505005,0,-0.000505005
Methanococcus maripaludis,103,105,+2,0.0062903,0.01,+0.0037097,0.0520155,0.05,-0.0020155
Methanococcus vannielii,28,27,-1,0.00170998,0,-0.00170998,0.0141401,0.01,-0.0041401
Methanoculleus marisnigri,1,1,+0,6.10708e-05,0,-6.10708e-05,0.000505005,0,-0.000505005
Methanohalobium evestigatum,1,N/A,N/A,6.10708e-05,N/A,N/A,0.000505005,N/A,N/A
Methanohalophilus halophilus,60,60,+0,0.00366425,0,-0.00366425,0.0303003,0.03,-0.0003003
Methanopyrus kandleri,1,1,+0,6.10708e-05,0,-6.10708e-05,0.000505005,0,-0.000505005
Methanosarcina acetivorans,78,61,-17,0.00476352,0,-0.00476352,0.0393904,0.03,-0.0093904
Methanosarcina siciliae,1271,1289,+18,0.077621,0.08,+0.002379,0.641861,0.65,+0.008139
Methanosarcina sp. MTP4,86,90,+4,0.00525209,0.01,+0.00474791,0.0434304,0.05,+0.0065696
Methanosarcina sp. WH1,144,141,-3,0.0087942,0.01,+0.0012058,0.0727207,0.07,-0.0027207
Methanothermococcus okinawensis,2,2,+0,0.000122142,0,-0.000122142,0.00101001,0,-0.00101001
Methanotorris igneus,84,84,+0,0.00512995,0.01,+0.00487005,0.0424204,0.04,-0.0024204
Methyloceanibacter caenitepidi,199,198,-1,0.0121531,0.01,-0.0021531,0.100496,0.1,-0.000496
Methylomonas methanica,1073,1071,-2,0.065529,0.07,+0.004471,0.54187,0.54,-0.00187
Methylophaga frappieri,20,13,-7,0.00122142,0,-0.00122142,0.0101001,0.01,-0.0001001
Methylophaga nitratireducenticrescens,30,29,-1,0.00183212,0,-0.00183212,0.0151501,0.01,-0.0051501
Methylophilales bacterium MBRS-H7,46,45,-1,0.00280926,0,-0.00280926,0.0232302,0.02,-0.0032302
Methylophilales bacterium MBRSF5,251,256,+5,0.0153288,0.02,+0.0046712,0.126756,0.13,+0.003244
Methylophilales bacterium MBRSG12,44,40,-4,0.00268712,0,-0.00268712,0.0222202,0.02,-0.0022202
Microbacterium sp. LKL04,4,4,+0,0.000244283,0,-0.000244283,0.00202002,0,-0.00202002
Micromonospora krabiensis,47,46,-1,0.00287033,0,-0.00287033,0.0237352,0.02,-0.0037352
Micromonospora maris,28,27,-1,0.00170998,0,-0.00170998,0.0141401,0.01,-0.0041401
Moorena producens,479,479,+0,0.0292529,0.03,+0.0007471,0.241897,0.24,-0.001897
Moritella viscosa,901,893,-8,0.0550248,0.05,-0.0050248,0.455009,0.45,-0.005009
Mycobacteroides chelonae,41,41,+0,0.0025039,0,-0.0025039,0.0207052,0.02,-0.0007052
Mycolicibacterium chubuense,51,52,+1,0.00311461,0,-0.00311461,0.0257552,0.03,+0.0042448
Mycolicibacterium rhodesiae,65,66,+1,0.0039696,0,-0.0039696,0.0328253,0.03,-0.0028253
Myroides profundi,82,80,-2,0.00500781,0,-0.00500781,0.0414104,0.04,-0.0014104
Nanoarchaeum equitans,56,56,+0,0.00341997,0,-0.00341997,0.0282803,0.03,+0.0017197
Nanohaloarchaea archaeon SG9,35,35,+0,0.00213748,0,-0.00213748,0.0176752,0.02,+0.0023248
Nautilia profundicola,8,9,+1,0.000488567,0,-0.000488567,0.00404004,0,-0.00404004
Nitratifractor salsuginis,77,76,-1,0.00470245,0,-0.00470245,0.0388854,0.04,+0.0011146
Nitratiruptor sp. SB155-2,33,33,+0,0.00201534,0,-0.00201534,0.0166652,0.02,+0.0033348
Nitrosococcus halophilus,15595,15605,+10,0.9524,0.95,-0.0024,7.87555,7.88,+0.00445
Nitrosococcus oceani,1287,1278,-9,0.0785982,0.08,+0.0014018,0.649941,0.65,+5.9e-05
Nitrosopumilus adriaticus,5,5,+0,0.000305354,0,-0.000305354,0.00252502,0,-0.00252502
