Name,Count (cami2_sample0_abundance),Count (cami2_marine_sample0_abundance_jn05),Count (diff),Proportion_All(%) (cami2_sample0_abundance),Proportion_All(%) (cami2_marine_sample0_abundance_jn05),Proportion_All(%) (diff),Proportion_Classified(%) (cami2_sample0_abundance),Proportion_Classified(%) (cami2_marine_sample0_abundance_jn05),Proportion_Classified(%) (diff)
Crocosphaera subtropica,2,2,+0,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Cupriavidus malaysiensis,121,120,-1,0.00735647,0.01,+0.00264353,0.0665263,0.07,+0.0034737
Cyclobacterium amurskyense,99,100,+1,0.00601893,0.01,+0.00398107,0.0544306,0.05,-0.0044306
Cyclobacterium marinum,6,5,-1,0.000364784,0,-0.000364784,0.00329882,0,-0.00329882
Cycloclasticus sp. P1,734,798,+64,0.0446252,0.05,+0.0053748,0.403556,0.44,+0.036444
Cycloclasticus zancles,809,742,-67,0.049185,0.05,+0.000815,0.444791,0.41,-0.034791
Deferribacter desulfuricans,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Denitrovibrio acetiphilus,3,1,-2,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Desulfobacula toluolica,94,94,+0,0.00571494,0.01,+0.00428506,0.0516816,0.05,-0.0016816
Desulfocapsa sulfexigens,4,4,+0,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Desulfococcus multivorans,1180,1179,-1,0.0717408,0.07,-0.0017408,0.648769,0.65,+0.001231
Desulfocurvibacter africanus,301,302,+1,0.0183,0.02,+0.0017,0.165491,0.17,+0.004509
Desulforamulus reducens,7,7,+0,0.000425581,0,-0.000425581,0.00384863,0,-0.00384863
Desulforapulum autotrophicum,8,8,+0,0.000486378,0,-0.000486378,0.00439843,0,-0.00439843
Desulfotalea psychrophila,4,3,-1,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Desulfurobacterium thermolithotrophum,187,187,+0,0.0113691,0.01,-0.0013691,0.102813,0.1,-0.002813
Dinoroseobacter shibae,26,22,-4,0.00158073,0,-0.00158073,0.0142949,0.01,-0.0042949
Dokdonia donghaensis,33,31,-2,0.00200631,0,-0.00200631,0.0181435,0.02,+0.0018565
Dokdonia sp. 4H-3-7-5,4,7,+3,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Dokdonia sp. MED134,9,8,-1,0.000547175,0,-0.000547175,0.00494824,0,-0.00494824
Dokdonia sp. PRO95,4,5,+1,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Draconibacterium orientale,1,N/A,N/A,6.07973e-05,N/A,N/A,0.000549804,N/A,N/A
Echinicola vietnamensis,88,89,+1,0.00535016,0.01,+0.00464984,0.0483828,0.05,+0.0016172
Edwardsiella anguillarum,35,35,+0,0.0021279,0,-0.0021279,0.0192431,0.02,+0.0007569
Edwardsiella piscicida,103,107,+4,0.00626212,0.01,+0.00373788,0.0566298,0.06,+0.0033702
Erythrobacter litoralis,1796,1804,+8,0.109192,0.11,+0.000808,0.987448,0.99,+0.002552
Ferrimonas balearica,17,12,-5,0.00103355,0,-0.00103355,0.00934667,0.01,+0.00065333
Ferroglobus placidus,3,3,+0,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Fervidobacterium pennivorans,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Flagellimonas lutaonensis,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Flagellimonas ruestringensis,2,3,+1,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Flammeovirga sp. MY04,972,973,+1,0.0590949,0.06,+0.0009051,0.534409,0.53,-0.004409
Flavobacteriaceae bacterium MAR_2010_188,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Flavobacterium crassostreae,7,5,-2,0.000425581,0,-0.000425581,0.00384863,0,-0.00384863
Flavobacterium psychrophilum,223,235,+12,0.0135578,0.01,-0.0035578,0.122606,0.13,+0.007394
Flexistipes sinusarabici,1,2,+1,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Formosa agariphila,123,123,+0,0.00747806,0.01,+0.00252194,0.0676259,0.07,+0.0023741
Formosa haliotis,128,133,+5,0.00778205,0.01,+0.00221795,0.0703749,0.07,-0.0003749
Formosa sp. Hel1_33_131,6,6,+0,0.000364784,0,-0.000364784,0.00329882,0,-0.00329882
Formosa sp. Hel3_A1_48,2,2,+0,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Francisella orientalis,179,180,+1,0.0108827,0.01,-0.0008827,0.0984149,0.1,+0.0015851
Francisella uliginis,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Geobacillus kaustophilus,69,73,+4,0.00419501,0,-0.00419501,0.0379365,0.04,+0.0020635
Geoglobus acetivorans,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Geoglobus ahangari,3,2,-1,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Gillisia sp. Hel1_33_143,4,8,+4,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Glaciecola sp. 4H-3-7+YE-5,24,21,-3,0.00145913,0,-0.00145913,0.0131953,0.01,-0.0031953
Gloeomargarita lithophora,467,467,+0,0.0283923,0.03,+0.0016077,0.256758,0.26,+0.003242
Gramella sp. MAR_2010_102,187,186,-1,0.0113691,0.01,-0.0013691,0.102813,0.1,-0.002813
Gramella sp. MAR_2010_147,12,9,-3,0.000729567,0,-0.000729567,0.00659765,0,-0.00659765
Hahella chejuensis,195,192,-3,0.0118555,0.01,-0.0018555,0.107212,0.11,+0.002788
Haliangium ochraceum,2,2,+0,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Haloarcula hispanica,3,2,-1,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Haloarcula sp. CBA1115,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Halobacteriovorax marinus,157,157,+0,0.00954517,0.01,+0.00045483,0.0863192,0.09,+0.0036808
Halodesulfurarchaeum formicicum,2,3,+1,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Haloferax gibbonsii,5,5,+0,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Haloferax mediterranei,136,136,+0,0.00826843,0.01,+0.00173157,0.0747733,0.07,-0.0047733
Halolamina sediminis,34,34,+0,0.00206711,0,-0.00206711,0.0186933,0.02,+0.0013067
Halomonas aestuarii,54,52,-2,0.00328305,0,-0.00328305,0.0296894,0.03,+0.0003106
Halomonas elongata,18,19,+1,0.00109435,0,-0.00109435,0.00989647,0.01,+0.00010353
Halomonas sp. A3H3,1339,1328,-11,0.0814075,0.08,-0.0014075,0.736188,0.73,-0.006188
Halomonas sp. R57-5,127,138,+11,0.00772125,0.01,+0.00227875,0.0698251,0.08,+0.0101749
Halopseudomonas litoralis,7,7,+0,0.000425581,0,-0.000425581,0.00384863,0,-0.00384863
Haloquadratum walsbyi,67,67,+0,0.00407342,0,-0.00407342,0.0368369,0.04,+0.0031631
Halorhabdus tiamatea,331,331,+0,0.0201239,0.02,-0.0001239,0.181985,0.18,-0.001985
Helicobacter cetorum,5,3,-2,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Helicobacter enhydrae,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Hippea maritima,115,115,+0,0.00699168,0.01,+0.00300832,0.0632275,0.06,-0.0032275
Hirschia baltica,66,67,+1,0.00401262,0,-0.00401262,0.0362871,0.04,+0.0037129
Hoeflea sp. IMCC20628,63,62,-1,0.00383023,0,-0.00383023,0.0346377,0.03,-0.0046377
Hydrogenophaga crassostreae,544,543,-1,0.0330737,0.03,-0.0030737,0.299093,0.3,+0.000907
Hydrogenovibrio crunogenus,41,42,+1,0.00249269,0,-0.00249269,0.022542,0.02,-0.002542
Hyperthermus butylicus,4582,4580,-2,0.278573,0.28,+0.001427,2.5192,2.52,+0.0008
Hyphomicrobium nitrativorans,830,825,-5,0.0504617,0.05,-0.0004617,0.456337,0.45,-0.006337
Hyphomonas neptunium,146,145,-1,0.0088764,0.01,+0.0011236,0.0802714,0.08,-0.0002714
Hyphomonas sp. Mor2,141,141,+0,0.00857241,0.01,+0.00142759,0.0775224,0.08,+0.0024776
Idiomarina loihiensis,36,36,+0,0.0021887,0,-0.0021887,0.0197929,0.02,+0.0002071
Ignicoccus hospitalis,5,5,+0,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Ignicoccus islandicus,152,151,-1,0.00924118,0.01,+0.00075882,0.0835702,0.08,-0.0035702
Ilumatobacter coccineus,2627,2630,+3,0.159714,0.16,+0.000286,1.44434,1.45,+0.00566
Ilyobacter polytropus,449,446,-3,0.027298,0.03,+0.002702,0.246862,0.25,+0.003138
Isoalcanivorax pacificus,134,138,+4,0.00814683,0.01,+0.00185317,0.0736737,0.08,+0.0063263
Jannaschia sp. CCS1,9,8,-1,0.000547175,0,-0.000547175,0.00494824,0,-0.00494824
Kangiella geojedonensis,204,204,+0,0.0124026,0.01,-0.0024026,0.11216,0.11,-0.00216
Kangiella koreensis,73,73,+0,0.0044382,0,-0.0044382,0.0401357,0.04,-0.0001357
Kangiella sediminilitoris,119,117,-2,0.00723487,0.01,+0.00276513,0.0654267,0.06,-0.0054267
Kiritimatiella glycovorans,2,1,-1,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Kytococcus sedentarius,419,417,-2,0.0254741,0.03,+0.0045259,0.230368,0.23,-0.000368
Lacimicrobium alkaliphilum,11,6,-5,0.00066877,0,-0.00066877,0.00604784,0,-0.00604784
Lacinutrix sp. 5H-3-7-4,363,354,-9,0.0220694,0.02,-0.0020694,0.199579,0.19,-0.009579
Lactococcus garvieae,4,6,+2,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Leisingera methylohalidivorans,251,255,+4,0.0152601,0.02,+0.0047399,0.138001,0.14,+0.001999
Leuconostoc lactis,69,69,+0,0.00419501,0,-0.00419501,0.0379365,0.04,+0.0020635
Luteimonas sp. JM171,473,475,+2,0.0287571,0.03,+0.0012429,0.260057,0.26,-5.7e-05
Magnetococcus marinus,1266,1271,+5,0.0769693,0.08,+0.0030307,0.696052,0.7,+0.003948
Magnetospira sp. QH-2,8,7,-1,0.000486378,0,-0.000486378,0.00439843,0,-0.00439843
Maribacter sp. 1_2014MBL_MicDiv,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Maribacter sp. HTCC2170,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Maribacter sp. MAR_2009_60,2,3,+1,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Maricaulis maris,55,54,-1,0.00334385,0,-0.00334385,0.0302392,0.03,-0.0002392
Maridesulfovibrio hydrothermalis,96,96,+0,0.00583654,0.01,+0.00416346,0.0527812,0.05,-0.0027812
Maridesulfovibrio salexigens,99,103,+4,0.00601893,0.01,+0.00398107,0.0544306,0.06,+0.0055694
Marinithermus hydrothermalis,1040,1036,-4,0.0632291,0.06,-0.0032291,0.571796,0.57,-0.001796
Marinitoga piezophila,96,85,-11,0.00583654,0.01,+0.00416346,0.0527812,0.05,-0.0027812
Marinitoga sp. 1137,69,80,+11,0.00419501,0,-0.00419501,0.0379365,0.04,+0.0020635
Marinobacter adhaerens,84,80,-4,0.00510697,0,-0.00510697,0.0461835,0.04,-0.0061835
Marinobacter nauticus,216,224,+8,0.0131322,0.01,-0.0031322,0.118758,0.12,+0.001242
Marinobacter psychrophilus,30,34,+4,0.00182392,0,-0.00182392,0.0164941,0.02,+0.0035059
Marinobacter salarius,478,478,+0,0.0290611,0.03,+0.0009389,0.262806,0.26,-0.002806
Marinobacter salinus,8,7,-1,0.000486378,0,-0.000486378,0.00439843,0,-0.00439843
Marinobacter similis,68,65,-3,0.00413421,0,-0.00413421,0.0373867,0.04,+0.0026133
Marinobacter sp. BSs20148,65,63,-2,0.00395182,0,-0.00395182,0.0357373,0.03,-0.0057373
Marinobacter sp. CP1,46,52,+6,0.00279667,0,-0.00279667,0.025291,0.03,+0.004709
Marinobacterium aestuarii,150,146,-4,0.00911959,0.01,+0.00088041,0.0824706,0.08,-0.0024706
Marinomonas mediterranea,870,880,+10,0.0528936,0.05,-0.0028936,0.478329,0.48,+0.001671
Marinomonas posidonica,1759,1759,+0,0.106942,0.11,+0.003058,0.967105,0.97,+0.002895
Marinomonas sp. MWYL1,37,27,-10,0.0022495,0,-0.0022495,0.0203427,0.01,-0.0103427
Marinovum algicola,14,14,+0,0.000851162,0,-0.000851162,0.00769726,0.01,+0.00230274
Marivirga tractuosa,658,658,+0,0.0400046,0.04,-4.6e-06,0.361771,0.36,-0.001771
Marivivens sp. JLT3646,8,6,-2,0.000486378,0,-0.000486378,0.00439843,0,-0.00439843
Methanocaldococcus bathoardescens,8,9,+1,0.000486378,0,-0.000486378,0.00439843,0,-0.00439843
Methanocaldococcus fervens,3,3,+0,0.000182392,0,-0.000182392,0.00164941,0,-0.00164941
Methanocaldococcus infernus,2,1,-1,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Methanocaldococcus jannaschii,56,54,-2,0.00340465,0,-0.00340465,0.030789,0.03,-0.000789
Methanocaldococcus sp. FS406-22,5,6,+1,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Methanocaldococcus vulcanius,78,80,+2,0.00474219,0,-0.00474219,0.0428847,0.04,-0.0028847
Methanococcoides methylutens,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Methanococcus maripaludis,58,58,+0,0.00352624,0,-0.00352624,0.0318886,0.03,-0.0018886
Methanococcus vannielii,4,4,+0,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Methanococcus voltae,2,2,+0,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Methanoculleus marisnigri,442,442,+0,0.0268724,0.03,+0.0031276,0.243013,0.24,-0.003013
Methanohalobium evestigatum,2,1,-1,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Methanolacinia petrolearia,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Methanopyrus kandleri,2,2,+0,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Methanosarcina acetivorans,247,208,-39,0.0150169,0.01,-0.0050169,0.135802,0.11,-0.025802
Methanosarcina siciliae,3627,3671,+44,0.220512,0.22,-0.000512,1.99414,2.02,+0.02586
Methanosarcina sp. MTP4,57,61,+4,0.00346544,0,-0.00346544,0.0313388,0.03,-0.0013388
Methanosarcina sp. WH1,39,31,-8,0.00237109,0,-0.00237109,0.0214424,0.02,-0.0014424
Methanothermococcus okinawensis,1,2,+1,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Methanotorris igneus,97,97,+0,0.00589733,0.01,+0.00410267,0.053331,0.05,-0.003331
Methyloceanibacter caenitepidi,252,251,-1,0.0153209,0.02,+0.0046791,0.138551,0.14,+0.001449
Methylomonas methanica,1125,1122,-3,0.0683969,0.07,+0.0016031,0.618529,0.62,+0.001471
Methylophaga frappieri,59,55,-4,0.00358704,0,-0.00358704,0.0324384,0.03,-0.0024384
Methylophaga nitratireducenticrescens,9,8,-1,0.000547175,0,-0.000547175,0.00494824,0,-0.00494824
Methylophilales bacterium MBRS-H7,19,19,+0,0.00115515,0,-0.00115515,0.0104463,0.01,-0.0004463
Methylophilales bacterium MBRSF5,169,173,+4,0.0102747,0.01,-0.0002747,0.0929169,0.1,+0.0070831
Methylophilales bacterium MBRSG12,23,19,-4,0.00139834,0,-0.00139834,0.0126455,0.01,-0.0026455
Microbacterium sp. LKL04,4,3,-1,0.000243189,0,-0.000243189,0.00219922,0,-0.00219922
Micromonospora krabiensis,101,97,-4,0.00614052,0.01,+0.00385948,0.0555302,0.05,-0.0055302
Micromonospora maris,838,825,-13,0.0509481,0.05,-0.0009481,0.460736,0.45,-0.010736
Moorena producens,13,12,-1,0.000790364,0,-0.000790364,0.00714745,0.01,+0.00285255
Moritella viscosa,1577,1569,-8,0.0958773,0.1,+0.0041227,0.867041,0.86,-0.007041
Mycobacteroides chelonae,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Mycolicibacterium chubuense,161,161,+0,0.00978836,0.01,+0.00021164,0.0885184,0.09,+0.0014816
Mycolicibacterium rhodesiae,5,4,-1,0.000303986,0,-0.000303986,0.00274902,0,-0.00274902
Myroides profundi,2,1,-1,0.000121595,0,-0.000121595,0.00109961,0,-0.00109961
Nanoarchaeum equitans,68,68,+0,0.00413421,0,-0.00413421,0.0373867,0.04,+0.0026133
Nanohaloarchaea archaeon SG9,78,78,+0,0.00474219,0,-0.00474219,0.0428847,0.04,-0.0028847
Nautilia profundicola,31,31,+0,0.00188472,0,-0.00188472,0.0170439,0.02,+0.0029561
Neorickettsia helminthoeca,1,1,+0,6.07973e-05,0,-6.07973e-05,0.000549804,0,-0.000549804
Nitratifractor salsuginis,10,9,-1,0.000607973,0,-0.000607973,0.00549804,0,-0.00549804
Nitratiruptor sp. SB155-2,114,113,-1,0.00693089,0.01,+0.00306911,0.0626777,0.06,-0.0026777
Nitrosococcus halophilus,21201,21224,+23,1.28896,1.29,+0.00104,11.6564,11.67,+0.0136
Nitrosococcus oceani,5419,5398,-21,0.32946,0.33,+0.00054,2.97939,2.97,-0.00939
Nitrosopumilus adriaticus,115,114,-1,0.00699168,0.01,+0.00300832,0.0632275,0.06,-0.0032275
Nitrosopumilus maritimus,10,11,+1,0.000607973,0,-0.000607973,0.00549804,0.01,+0.00450196
